,id,name,colors,Category,Description,price,link
0,DD1918-010,Nike Pro Dri-FIT,Black/WhiteStyle,Men's Shorts,"Much more than a base layer, the Nike Pro Dri-FIT Shorts hug you with lightweight fabric that keeps you feeling dry, cool and supported from warm-ups through to cool-downs. They're made from at least 75% recycled polyester fibres in a stretchy design that helps you move at full intensity during your toughest workouts or competitions.",1 495,https://www.nike.com/in/t/pro-dri-fit-shorts-8jxLsr/DD1918-010
1,DN4094-010,Nike ESC,BlackStyle,Men's Lightweight Jacket,"The iconic WW2 deck jacket serves as inspiration for this lightweight and comfortable layering staple. Its waist-length design features a covered button placket, darted patterning for shape and a convertible collar for easy wear. An internal carrying strap lets you sling it over your shoulder when you're not wearing it for hands-free convenience.",26 995,https://www.nike.com/in/t/esc-lightweight-jacket-ZgMQFp/DN4094-010
2,DJ7647-609,Liverpool F.C. 2022/23 Match Home,Tough Red/Team Red/WhiteStyle,Men's Nike Dri-FIT ADV Football Shirt,"Like other shirts from our Match collection, this one pairs authentic design details with lightweight, quick-drying fabric to help keep the world's biggest football stars cool and comfortable on the pitch. This product is made from 100% recycled polyester fibres.",7 995,https://www.nike.com/in/t/liverpool-fc-2022-23-match-home-dri-fit-adv-football-shirt-7SPRhx/DJ7647-609
3,DM1843-609,Liverpool F.C. 2022/23 Stadium Home,Tough Red/Team Red/WhiteStyle,Men's Nike Dri-FIT Football Shirt,"Like other shirts from our Stadium collection, this one pairs replica design details with sweat-wicking fabric to give you a game-ready look inspired by your favourite team. This product is made from 100% recycled polyester fibres.",4 695,https://www.nike.com/in/t/liverpool-fc-2022-23-stadium-home-dri-fit-football-shirt-XhnBrv/DM1843-609
4,DH0858-010,NikeCourt Dri-FIT,Black/WhiteStyle,Men's Tennis Polo,"Made from soft knit fabric that's made from 100% recycled polyester fibres, the NikeCourt Dri-FIT Polo is a classic-looking, sweat-wicking court staple.",1 895,https://www.nike.com/in/t/nikecourt-dri-fit-tennis-polo-xQtSz0/DH0858-010
5,CU5993-100,Nike Dri-FIT Miler,WhiteStyle,Men's Running Top,Take on your daily route with the Nike Dri-FIT Miler Top.It offers lightweight performance and mobility for the entry-level runner.This product is made from at least 50% recycled polyester fibres.,1 695,https://www.nike.com/in/t/dri-fit-miler-running-top-gJH4Zt/CU5993-100
6,AR4999-570,Nike Sportswear Club,Light ThistleStyle,Men's T-Shirt,"The Nike Sportswear Club T-Shirt is made with our everyday cotton fabric and a classic fit, for a familiar feel right out of the bag. An embroidered Futura logo on the chest provides a signature Nike look.",1 295,https://www.nike.com/in/t/sportswear-club-t-shirt-K8nM0q/AR4999-570
7,CU4496-722,Nike Sportswear Tech Fleece,Elemental Gold/SailStyle,Men's Joggers,"Ready for cooler weather, the Nike Sportswear Tech Fleece Joggers feature an updated fit perfect for everyday wear. Roomy through the thigh, this tapered design narrows at the knee to give you a comfortable feel without losing the clean, tailored look you love. Tall ribbed cuffs complete the jogger look while a zipped pocket on the right leg provides secure small-item storage and elevates the look.",5 495,https://www.nike.com/in/t/sportswear-tech-fleece-joggers-h1ntxv/CU4496-722
8,CZ1182-492,Nike Pro Dri-FIT,Blue Void/Game Royal/Heather/BlackStyle,Men's Short-Sleeve Top,"The Nike Pro Dri-FIT Top helps keep you cool, dry and moving freely through your workout. Lightweight fabric with plenty of stretch is made from at least 50% recycled polyester fibres.",1 995,https://www.nike.com/in/t/pro-dri-fit-short-sleeve-top-xrfWkz/CZ1182-492
9,CZ1220-369,Nike Dri-FIT Superset,Light Menta/BlackStyle,Men's Short-Sleeve Training Top,"The Nike Dri-FIT Superset Top feels smooth and non-restrictive as you push, pull and lift with a design that shifts the shoulder seams out of the way. Breathable fabric helps you stay cool.",1 695,https://www.nike.com/in/t/dri-fit-superset-short-sleeve-training-top-hCQdMj/CZ1220-369
10,DZ7313-010,Jordan Flight Essentials,BlackStyle,Men's Oversized T-Shirt,"Designed with an intentionally oversized fit, this tee is ready for whatever the day brings. With a Jumpman woven patch on the chest, no one will question what you're about.",2 495,https://www.nike.com/in/t/jordan-flight-essentials-oversized-t-shirt-C7XVkQ/DZ7313-010
11,DM3104-010,Paris Saint-Germain,Black/Bright CrimsonStyle,Men's Woven Jacket,"Stay warm while repping your favourite club in this PSG jacket. It's fully lined for warmth and comfort and it fastens with press studs for a sporty, streamlined look.",5 495,https://www.nike.com/in/t/paris-saint-germain-woven-jacket-2J62xG/DM3104-010
12,DR3102-316,Jordan x J Balvin,Jade Aura/Enamel GreenStyle,Men's Crew,"J Balvin remixes the classic crew to help you look good and stay warm. UV-reactive embroidered logos shimmer in the sunlight, energising any outfit.",5 995,https://www.nike.com/in/t/jordan-j-balvin-crew-55MbpG/DR3102-316
13,DA4131-451,Nike Dri-FIT UV,ObsidianStyle,Men's Slim-Fit Golf Chino Trousers,"From the course to the concrete and everywhere in between, the Nike Dri-FIT UV Chino Trousers keep your look fresh.The stretchy design is slightly tapered from knee to hem, creating a tailored look that's built to perform.",3 995,https://www.nike.com/in/t/dri-fit-uv-slim-fit-golf-chino-trousers-plM88f/DA4131-451
14,DV3072-045,Jordan Flight Heritage 85,Off-NoirStyle,Men's T-Shirt,"Pay respect to the history of Flight in a tee that bridges past and present. A vintage MJ print is paired with modern graphics on soft, premium cotton.",2 695,https://www.nike.com/in/t/jordan-flight-heritage-85-t-shirt-Z4Wgfb/DV3072-045
15,DR7646-010,Giannis Nike Dri-FIT,BlackStyle,Men's Basketball T-Shirt,"Freakish abilities, championship pedigree. That's you on the court in the Giannis Tee. A soft feel and a relaxed fit give you room to shoot your shot and hustle back to defence.",2 195,https://www.nike.com/in/t/giannis-dri-fit-basketball-t-shirt-vsZvm1/DR7646-010
16,DM5436-455,Nike Dri-FIT Wild Run,Deep Royal BlueStyle,Running T-Shirt,"The tempo of your run creates music with every step. We took that rhythm and put it in visual form on this relaxed Wild Run tee. Soft, sweat-wicking fabric keeps you feeling comfortable as you set out to make more music with every mile.",1 795,https://www.nike.com/in/t/dri-fit-wild-run-running-t-shirt-BTcN2n/DM5436-455
17,CU7203-417,Nike,Old Royal/Light Crimson/Yellow Ochre/Reflect SilverStyle,Trail Running Crew Socks,"Designed with insight from trail runners around the world, the Nike Trail Socks deliver durable grip underfoot. A supportive design helps you stay running comfortably when your off-road miles become wet and rocky.",1 495,https://www.nike.com/in/t/trail-running-crew-socks-jpnMKv/CU7203-417
18,DN2005-401,Golden State Warriors Icon Edition 2022/23,Rush BlueStyle,Nike Dri-FIT NBA Swingman Jersey,"Every team has its true colours, an unmistakable identity that sets it apart from the rest of the league. Honouring a rich hoops heritage, this Golden State Warriors jersey is inspired by what the pros wear on the hardwood, from squad details to lightweight, sweat-wicking mesh. It helps keep you dry and cool on or off the court while you rep your favourite player and the game you love.",5 995,https://www.nike.com/in/t/golden-state-warriors-icon-edition-2022-23-dri-fit-nba-swingman-jersey-4WhBSn/DN2005-401
19,SX7677-100,Nike Everyday Lightweight,White/BlackStyle,Training Ankle Socks (3 Pairs),Power through your workout with the Nike Everyday Lightweight Socks. Soft yarns with sweat-wicking technology help keep your feet comfortable and dry.,595,https://www.nike.com/in/t/everyday-lightweight-training-ankle-socks-ShtJfk/SX7677-100
20,CZ2236-070,Nike Yoga Dri-FIT,BlackStyle,Men's Shorts,The soft and stretchy Nike Yoga Dri-FIT Shorts let you flow freely through your session—or anywhere else your day takes you. They bring purpose to your practice with a sweat-wicking design that is made from at least 75% recycled polyester fibres.,2 995,https://www.nike.com/in/t/yoga-dri-fit-shorts-vbr4mK/CZ2236-070
21,,Air Jordan Wordmark,,Men's Fleece Hoodie,,5 695,https://www.nike.com/in/launch/r/DV6463-645
22,DV9475-100,Nike Everyday Plus,White/BlackStyle,Lightweight Ankle Split-Toe Socks,"Wear them with flip-flops, wear them your AF-1s—the choice is yours. These socks are versatile enough for light workouts or your daily walk, and feature lightweight fabric and comfortable ankle support to power you through whatever your day brings.",1 095,https://www.nike.com/in/t/everyday-plus-lightweight-ankle-split-toe-socks-3w224x/DV9475-100
23,DV1593-010,Jordan Artist Series by Jacob Rochester,Black/Sail/University RedStyle,Men's Hoodie,"Get ready to get noticed. This fleece hoodie features the work of artist Jacob Rochester, which tells the nostalgic story of hoops culture through bold, screen printed graphics. His imagery brings energy to a classic wardrobe staple, while a subtle Artist Series pin on the cuff legitimises your look.",4 495,https://www.nike.com/in/t/jordan-artist-series-by-jacob-rochester-hoodie-SrvB2x/DV1593-010
24,DM6618-010,Nike Dri-FIT,Black/Black/WhiteStyle,Men's 23cm (approx.) Woven Training Shorts,"The Nike Dri-FIT Shorts are made to keep you moving during high-intensity training. Woven fabric stretches with every move, while vents at the hems are ideal for deep bends like Lunges and Squats. This product is made from 100% recycled polyester fibres.",1 795,https://www.nike.com/in/t/dri-fit-woven-training-shorts-5f0FNk/DM6618-010
25,DC5321-010,Nike,BlackStyle,Men's 2-in-1 Shorts,The Nike Shorts include an inner layer made from Nike Infinalon fabric that feels irresistibly soft and smooth while providing a gentle compressive feel as you stretch and move. The looser outer layer lets you move comfortably while staying covered. They include sweat-wicking power to help keep you dry when your training heats up.,3 495,https://www.nike.com/in/t/2-in-1-shorts-ScqnT4/DC5321-010
26,DQ4791-010,Nike Dri-FIT Fleece,Black/Black/Coconut MilkStyle,Men's Full-Zip Camo Fitness Hoodie,Bring the heat with our classic Fleece Hoodie. A camo print is combined with a soft touch for warmth in cool-weather workouts. We made this one for movement so you can stretch and jump without missing a beat.,3 995,https://www.nike.com/in/t/dri-fit-fleece-camo-fitness-hoodie-tVwCBs/DQ4791-010
27,DR7760-121,"Nike ACG ""Insects""",Summit WhiteStyle,Men's Long-Sleeve T-Shirt,"Ready for campsites, trails and city treks alike, the ACG ""Insects"" tee is made from our heavyweight blended knit fabric in a roomy fit for reliable comfort no matter where your journey takes you. The colours and graphics are inspired by the natural world surrounding Spirit Lake, including all the insects that inhabit the area.",2 895,https://www.nike.com/in/t/acg-insects-long-sleeve-t-shirt-f0LDLr/DR7760-121
28,SX7676-100,Nike Everyday Lightweight,White/BlackStyle,Training Crew Socks (3 Pairs),Power through your workout with the Nike Everyday Socks. Soft yarns with sweat-wicking technology help keep your feet comfortable and dry.,595,https://www.nike.com/in/t/everyday-lightweight-training-crew-socks-Gvl3WS/SX7676-100
29,DM5656-302,Nigeria,Pine Green/ObsidianStyle,Men's Nike Ignite T-Shirt,Get fired up for your squad in the Nigeria Ignite T-Shirt. Proud graphics on soft knit fabric in a relaxed fit let you root for the national team in casual comfort.,2 195,https://www.nike.com/in/t/nigeria-ignite-t-shirt-h7gp0l/DM5656-302
30,DV5625-084,Jordan Dri-FIT Zion,Smoke GreyStyle,Men's Hoodie,"Here's a hoodie you can chill in, then go straight to the gym—Zion approved. Soft fabric and sweat-wicking Dri-FIT Tech will keep you comfy no matter what you decide to do. Graphics on the chest and arms keep your look fresh.",4 495,https://www.nike.com/in/t/jordan-dri-fit-zion-hoodie-Bmzc5H/DV5625-084
31,DH6764-886,Nike Dri-FIT,Kumquat/Black/WhiteStyle,Men's Basketball Shorts,"Basic doesn't mean boring. The Nike Dri-FIT Basketball Shorts have a light, loose feel with sweat-wicking technology to keep you dry. They make their mark with a large Swoosh logo cut from fabric and stitched into the side.",1 795,https://www.nike.com/in/t/dri-fit-basketball-shorts-R8xVVG/DH6764-886
32,DQ7362-010,Jordan Flight MVP 85,BlackStyle,Men's Statement T-Shirt,"Bring the energy in a tee that reinterprets classic Jordan Brand imagery. Bold graphics make a statement on soft, relaxed cotton that you'll want to wear all day.",2 695,https://www.nike.com/in/t/jordan-flight-mvp-85-statement-t-shirt-gtppSt/DQ7362-010
33,DN1075-490,Brazil AWF,Coastal Blue/Dynamic Yellow/Green Spark/Dynamic YellowStyle,Men's Full-Zip Football Jacket,"Designed for unpredictable weather, this jacket is a lightweight layer for days when you want to play through the rain, but don't want to get soaked.",5 495,https://www.nike.com/in/t/brazil-awf-football-jacket-2VQ7Z3/DN1075-490
34,DH0646-370,Nike Dri-FIT Player,Neptune Green/Brushed SilverStyle,Men's Printed Golf Polo,"Although it's made from a stretchy performance material, the Nike Dri-FIT Player Polo pays tribute to the classic style of golf. From the chambray fabric lining the placket and hems to the repeating shield logo print that nods to the history of Nike Golf, this course-ready staple celebrates the sport's rich heritage.",3 295,https://www.nike.com/in/t/dri-fit-player-printed-golf-polo-C06fcT/DH0646-370
35,DV6960-258,Air Jordan x Two18,Dark Driftwood/Coconut MilkStyle,Men's Hoodie,"Rep Detroit loud and proud with this Air Jordan x Two18 collaborative hoodie. Made from luxe, heavyweight fleece and with an all-over wash effect, you'll feel fresh all day, every day.",5 995,https://www.nike.com/in/t/air-jordan-two18-hoodie-kvD5DX/DV6960-258
36,DV1574-010,Jordan Essential Festive,Black/RattanStyle,Men's Fleece Crew,"Who's ready for the holidays? You are, in this cosy sweatshirt. Made from plush French terry fleece with classic checked detailing, it serves nostalgic seasonal style and plenty of Jordan heritage.",3 695,https://www.nike.com/in/t/jordan-essential-holiday-fleece-crew-jzlg36/DV1574-010
37,DV9637-100,Nike ACG,WhiteStyle,Men's T-Shirt,"This ACG tee has bold graphics inspired by the vegetation found in the Northwest's Cascade Mountain Range, particularly near Mt. Hood, Oregon. It's cut roomy from heavyweight fabric that will stand up to your biggest adventures.",2 695,https://www.nike.com/in/t/acg-t-shirt-6n2LZp/DV9637-100
38,DO9270-087,Nike Dri-FIT ACG 'Goat Rocks',Moon Fossil/Ironstone/Olive Grey/Summit WhiteStyle,Men's Long-Sleeve Top,"Inspired by the serene beauty of Spirit Lake, the Nike Dri-FIT ACG 'Goat Rocks' Top is made for effortless cool in warm conditions. It keeps things light and breezy with a smooth, relaxed feel against your skin. This product is made from 100% recycled polyester fibres.",3 095,https://www.nike.com/in/t/dri-fit-acg-goat-rocks-long-sleeve-top-0x7vfF/DO9270-087
39,DX4303-084,Nike Forward Hoodie,Light Smoke Grey/Heather/Anthracite/Light Smoke GreyStyle,Men's Hoodie,"Nike Forward catapults your classic hoodie into the future. Unlike traditional knit fabrics, Nike Forward combines multiple thin layers of select fibres for an exceptionally lightweight feel that's effortlessly warm and comfortable. Plus, this first iteration of Nike Forward reduces the carbon footprint by an average of 75% (due to the use of recycled materials, lower process-energy use, and lower material density) when used instead of our traditional knit fleece materials. A lighter future is a brighter future. Join us for the journey Forward and let's experience it together.",8 995,https://www.nike.com/in/t/forward-hoodie-hoodie-qKbJFt/DX4303-084
40,DN3946-004,Nike ACG 'Snowgrass',Ironstone/Moon Fossil/Summit WhiteStyle,Men's Cargo Shorts,"Keep taking your outdoor journey to new horizons in the mid-weight feel of the Nike ACG Snowgrass Shorts. Breathable and water-repellent, they have an adjustable belt and five pockets for holding all your outdoor essentials. This product is made from 100% recycled polyester and recycled nylon fibres.",6 295,https://www.nike.com/in/t/acg-snowgrass-cargo-shorts-1HTZKl/DN3946-004
41,DQ5780-087,Nike ACG Therma-FIT 'Wolf Tree',Moon Fossil/Olive Grey/Ironstone/Summit WhiteStyle,Men's Pullover Hoodie,"Suit up with premium Polartec® warmth in this ACG Therma-FIT 'Wolf Tree' Hoodie. Designed to be worn as a layering piece or on its own, this pullover has a hood so you can keep the elements at bay.",8 995,https://www.nike.com/in/t/acg-wolf-tree-pullover-hoodie-PBMmLd/DQ5780-087
42,DV9662-010,Nike ACG,BlackStyle,Men's Long-Sleeve T-Shirt,"Made from soft blended fabric for a comfy feel, this long-sleeve Nike ACG tee features our ""Lungs"" logo and ACG graphics for a classic finish. Plus, sweat-wicking fabric works to help you stay dry when you're out putting your lungs to the test.",3 095,https://www.nike.com/in/t/acg-long-sleeve-t-shirt-5lwqbW/DV9662-010
43,DV9626-010,Nike ACG,BlackStyle,Men's T-Shirt,"This tee reminds us to consider the impact we make with every action we take. Cut roomy from heavyweight fabric that will stand up to your biggest adventures, it features a bold topographical shot of Mt. Hood on the back.",2 695,https://www.nike.com/in/t/acg-t-shirt-sW4G4r/DV9626-010
44,DR4792-010,Nike ACG 'Sunfarer',Black/Summit WhiteStyle,Men's Trail Trousers,"Overcome whatever obstacle you find around the next bend in the trail in these versatile hiking trousers. They're made from stretchy, lightweight fabric that helps shed water for easy mobility and wetness protection. Targeted abrasion resistance and cooling zones are based on Nike athlete data to help you stay comfortable while you stay the course.",6 295,https://www.nike.com/in/t/acg-sunfarer-trail-trousers-MPqlX0/DR4792-010
45,DH3104-010,"Nike ACG ""Sun Farer""",Black/Off-Noir/Dark Smoke Grey/Summit WhiteStyle,Men's Jacket,"Don't let a little cold air stop you from exploring. The Nike ACG ""Sun Farer"" Jacket keeps the elements at bay while you keep going. It's loose and roomy with a design geared for all-round mobility so you stay moving when adventure takes you off the beaten path. Extra coverage courtesy of a hood can be packed away when the wet weather disappears. Layer up over a base and midlayer for total comfort. This product is made with at least 75% recycled nylon fibres.",10 495,https://www.nike.com/in/t/acg-sun-farer-jacket-JtVCNb/DH3104-010
46,CV0659-004,Nike ACG Polartec® 'Wolf Tree',Ironstone/Summit WhiteStyle,Men's Trousers,"Wet weather doesn't mean you have to stop exploring. Stay warm in our design inspired by Oregon's Smith Rock. Remarkably soft fabric, made from 100% recycled polyester fibres, helps you stay warm when temperatures begin to drop. Zipped storage keeps your essentials close.",7 495,https://www.nike.com/in/t/acg-polartec-wolf-tree-trousers-zVgVB1/CV0659-004
47,CZ9069-010,Nike Challenger,BlackStyle,Men's Running Shorts,The iconic Nike Challenger Shorts deliver sweat-wicking comfort for your run. They offer the versatility and breathability you want from everyday shorts. This product is made from at least 75% recycled polyester fibres.,1 595,https://www.nike.com/in/t/challenger-running-shorts-PZlXP2/CZ9069-010
48,DH9077-010,Jordan Sport Dri-FIT,Black/White/WhiteStyle,Men's Mesh Shorts,"The Jordan Sport Dri-FIT Shorts strike a balance between performance and street style. Made from sweat-wicking fabric, they're light, loose and breathable to help you stay cool and comfortable.",1 795,https://www.nike.com/in/t/jordan-sport-dri-fit-mesh-shorts-DT6bNk/DH9077-010
49,DQ6290-010,Nike SB Kearny,Black/Black/Anthracite/WhiteStyle,Skate Cargo Trousers,"Made from durable Ripstop fabric, the Nike SB Kearny Cargo Trousers are built to last. The classic cargo design doesn't skimp on storage—with 6 pockets, you'll have plenty of places to keep your essentials secure while you skate.",4 995,https://www.nike.com/in/t/sb-kearny-skate-cargo-trousers-5S7p6d/DQ6290-010
50,DQ7323-091,Jordan Dri-FIT Sport,Carbon Heather/Black/BlackStyle,Men's Full-Zip Hoodie,"Zip up, head out and stay fresh in this sleek hoodie. Its full-length zip extends up to the hood, keeping wind and chill at bay. Meanwhile, sweat-wicking Dri-FIT Technology ups the versatility, making this your go-to layer for everything from workouts to hangouts.",5 495,https://www.nike.com/in/t/jordan-dri-fit-sport-hoodie-4xncvC/DQ7323-091
51,DQ7388-010,Jordan Brand Sorry,BlackStyle,Men's T-Shirt,"Sorry, not sorry—Rose City, '92 just wasn't your year. This relaxed tee highlights what went down in the legendary season that led to MJ winning his first back-to-back championships. Printed graphics give a playful nod to the joys and sorrow of pro ball.",1 795,https://www.nike.com/in/t/jordan-brand-sorry-t-shirt-dlWtwL/DQ7388-010
52,DV6465-411,Jordan x Wordmark,Ice Blue/SailStyle,Men's T-Shirt,"Keep it simple and stylish. Made from quality, heavyweight cotton with minimal branding, this tee is a subtle standout.",2 895,https://www.nike.com/in/t/jordan-wordmark-t-shirt-WDwh2Z/DV6465-411
53,DQ4203-011,Nike Sportswear Air,Black/Dark Smoke Grey/Ghost GreenStyle,Men's French Terry Trousers,"The Nike Air collection pays tribute to the sneakers that helped shape the Swoosh brand over the decades. These French terry trousers are made from French terry fabric for soft warmth and comfort that lasts. Nike Air graphics, piping down the seams and soft elastic trims elevate the finish. Pair them up with your favourite ""Airs"" for a clean, city-ready look.",4 495,https://www.nike.com/in/t/sportswear-air-french-terry-trousers-mktSJT/DQ4203-011
54,DN0684-100,Croatia 2022/23 Stadium Home,White/Battle BlueStyle,Men's Nike Dri-FIT Football Shirt,"Like other shirts from our Stadium collection, this one pairs replica design details with sweat-wicking fabric to give you a game-ready look inspired by your favourite team.",4 695,https://www.nike.com/in/t/croatia-2022-23-stadium-home-dri-fit-football-shirt-JV9GpR/DN0684-100
55,DH0827-451,Nike Dri-FIT Victory,Obsidian/WhiteStyle,Men's Slim-Fit Golf Polo,"Crafted from breathable, sweat-wicking fabric that's made from 100% recycled polyester fibres, the Nike Dri-FIT Victory Polo puts a modern spin on golf performance. The ribbed collar and the buttons on the placket were also made using recycled materials.",2 295,https://www.nike.com/in/t/dri-fit-victory-slim-fit-golf-polo-nJtSCN/DH0827-451
56,DJ7682-078,Paris Saint-Germain 2022/23 Stadium Away,Light Smoke Grey/Black/BlackStyle,Men's Nike Dri-FIT Football Shirt,"Like other shirts from our Stadium collection, this one pairs replica design details with sweat-wicking fabric to give you a game-ready look inspired by your favourite team. This product is made from 100% recycled polyester fibres.",4 695,https://www.nike.com/in/t/paris-saint-germain-2022-23-stadium-away-dri-fit-football-shirt-F9BhXm/DJ7682-078
57,DH6466-490,Brazil Strike,Coastal Blue/Blackened Blue/Cucumber CalmStyle,Men's Nike Dri-FIT Knit Football Shorts,"The Brazil Strike Shorts have design details specifically tailored for football's rising stars. A slim, streamlined fit ensures that nothing comes between you and the ball, and sweat-wicking fabric helps keep you cool and composed while fine-tuning your skills.",2 495,https://www.nike.com/in/t/brazil-strike-dri-fit-knit-football-shorts-SfJd5K/DH6466-490
58,DM3106-010,Paris Saint-Germain,Black/Plum EclipseStyle,Men's Woven Pants,"Rep your favourite club in crisp, lightweight comfort. These woven pants are water-repellent, relaxed and threaded through with Jordan DNA and premier Paris identity.",4 295,https://www.nike.com/in/t/paris-saint-germain-woven-pants-CDNrgB/DM3106-010
59,DN1996-011,Brooklyn Nets Icon Edition 2022/23,BlackStyle,Nike Dri-FIT NBA Swingman Jersey,"Every team has its true colours, an unmistakable identity that sets it apart from the rest of the league. Honouring a rich hoops heritage, this Brooklyn Nets jersey is inspired by what the pros wear on the hardwood, from squad details to lightweight, sweat-wicking mesh. It helps keep you dry and cool on or off the court while you rep your favourite player and the game you love.",5 995,https://www.nike.com/in/t/brooklyn-nets-icon-edition-2022-23-dri-fit-nba-swingman-jersey-F1K2jL/DN1996-011
60,DQ8066-010,Jordan 23 Engineered,Black/WhiteStyle,Men's Woven Trousers,"Take your look to the next level with trousers from 23 Engineered. Made from lightweight, water-repellent material, they feature zip pockets and a belted waist for on-the-go functionality. It's not all about utility, though—a subtle grid pattern adds visual interest and the slightly cropped hem lets you show off your favourite kicks.",4 095,https://www.nike.com/in/t/jordan-23-engineered-woven-trousers-c2K82D/DQ8066-010
61,DQ5732-010,Nike Dri-FIT Standard Issue,Black/Matte Olive/Pale IvoryStyle,Men's Reversible Basketball Jersey,"The sweat-wicking Standard Issue Jersey combines the feel of performance with a classic look for beyond the court. It's a soft, reversible staple made to be ready-to-go right out of your gym bag. Wear it as a top layer or only layer for a smooth, breathable feel.",2 895,https://www.nike.com/in/t/dri-fit-standard-issue-reversible-basketball-jersey-fxsh1s/DQ5732-010
62,CU9741-003,Nike Dri-FIT,Dust/Pure/DustStyle,Men's Golf Shorts,Move comfortably on and off the course in the Nike Dri-FIT Shorts. Stretchy fabric lets you line up your putts without restriction and a tacky waistband helps keep your shirt tucked in while you bend and swing.,3 295,https://www.nike.com/in/t/dri-fit-golf-shorts-QNrCtG/CU9741-003
63,DA0321-441,Nike Solo Swoosh,Celestine Blue/WhiteStyle,Men's T-Shirt,A classic never goes out of style.Heavyweight fabric is mixed with a loose fit for a premium look and feel.,2 195,https://www.nike.com/in/t/solo-swoosh-t-shirt-2CFK7L/DA0321-441
64,DD4895-010,Nike Dri-FIT Challenger,BlackStyle,Men's Woven Running Trousers,"The Nike Dri-FIT Challenger Trousers are made from 100% recycled polyester fibres so you can feel good in more ways than one. Smooth, light fabric with sweat-wicking technology helps you stay dry and comfortable. Snap-button pockets keep your gear close.",3 495,https://www.nike.com/in/t/dri-fit-challenger-woven-running-trousers-WlV1Nq/DD4895-010
65,DQ7354-010,Jordan Essentials,Black/WhiteStyle,Men's Woven Shorts,"Gear up, Jumpman style. These relaxed shorts are lightweight, durable and comfortable—throw 'em on and focus on your game.",2 495,https://www.nike.com/in/t/jordan-essentials-woven-shorts-dkWZFk/DQ7354-010
66,SX7556-010,Nike Multiplier,Black/WhiteStyle,Running Ankle Socks (2 Pairs),"The Nike Multiplier Running Ankle Socks feature sweat-wicking fabric. An arch band at the midfoot offers a comfortable, close fit ideal for different types of runs.",895,https://www.nike.com/in/t/multiplier-running-ankle-socks-mLLjFH/SX7556-010
67,DD1991-010,Nike Pro Dri-FIT,Black/WhiteStyle,Men's Tight-Fit Long-Sleeve Top,The Nike Pro Dri-FIT Top hugs you in lightweight fabric with breathability built into high-heat zones to help keep you cool and dry from warm-ups to cool-downs. Stretchy fabric made from at least 75% recycled polyester fibres comes in a tight fit that easily layers under other tops.,1 795,https://www.nike.com/in/t/pro-dri-fit-tight-fit-long-sleeve-top-6HR6qX/DD1991-010
68,CW6108-010,Nike Dri-FIT Academy,Black/White/White/WhiteStyle,Men's Knit Football Shorts,"The Nike Dri-FIT Academy Shorts refuse to let sweat slow you down.Slightly stretchy fabric moves sweat off your skin, so you can focus on playing your best. This product is made from 100% recycled polyester fibres.",995,https://www.nike.com/in/t/dri-fit-academy-knit-football-shorts-Tp19Bs/CW6108-010
69,DM1834-101,Chelsea F.C. 2022/23 Stadium Away,White/College NavyStyle,Men's Nike Dri-FIT Football Shirt,"Like other shirts from our Stadium collection, this one pairs replica design details with sweat-wicking fabric to give you a game-ready look inspired by your favourite team. This product is made from 100% recycled polyester fibres.",4 695,https://www.nike.com/in/t/chelsea-fc-2022-23-stadium-away-dri-fit-football-shirt-MtFLBB/DM1834-101
70,DD5208-259,Nike Sportswear,Brown/WhiteStyle,Men's Unlined Utility Cargo Trousers,"The Nike Sportswear Utility Cargo Trousers are outfitted with the storage and comfort that a day on your feet demands. Cargo pockets and a flap back pocket make sure your phone, keys and other essentials are stored safely whether you're on the trail or commuting from work. A roomy, stylish fit helps you move without distraction and look your best.",3 695,https://www.nike.com/in/t/sportswear-unlined-utility-cargo-trousers-HR5W9B/DD5208-259
71,DM6627-010,Nike Dri-FIT,Black/Black/WhiteStyle,Men's Woven Team Training Trousers,"The Nike Dri-FIT Team Training Trousers are lightweight, flexible and designed to help you stay dry through your entire workout. Soft woven fabric feels smooth against your skin and the tapered legs are designed to help you move through your drills and lifts without distractions. This product is made from 100% recycled polyester fibres.",2 795,https://www.nike.com/in/t/dri-fit-woven-team-training-trousers-92wzsp/DM6627-010
72,DN0678-433,Brazil 2022/23 Stadium Away,Paramount Blue/Green Spark/Dynamic Yellow/Green SparkStyle,Men's Nike Dri-FIT Football Shirt,"Our ""garra"" is never done. Like other shirts from our Stadium collection, this one pairs replica design details with sweat-wicking fabric to give you a game-ready look inspired by your favourite team.",4 695,https://www.nike.com/in/t/brazil-2022-23-stadium-away-dri-fit-football-shirt-6ctwds/DN0678-433
73,DV5631-010,Zion Sneaker School,BlackStyle,T-Shirt,"Show some love for Zion with this all-cotton tee. With a relaxed fit and bold graphics, it's got your back (literally).",2 195,https://www.nike.com/in/t/zion-sneaker-school-t-shirt-NXqdvf/DV5631-010
74,DV1215-010,Nike,BlackStyle,Men's Basketball T-Shirt,"Bring your game with warm, summery vibes over a relaxed-feeling tee. That tropical Swoosh you wear is a sign you're on basketball island, a look inspired by seaside tournaments where a round of five-on-five is your idea of the perfect trip.",1 795,https://www.nike.com/in/t/basketball-t-shirt-QXcPP7/DV1215-010
