,id,name,colors,Category,Description,price,link
437,DJ8563-472,Paris Saint-Germain,Aura/Aura/Aura/Midnight NavyStyle,Men's Nike Dri-FIT Pre-Match Football Top,The Paris Saint-Germain Top gives you the same look as your favourite players. Sweat-wicking technology is lightweight and breathable to help keep you dry while you're warming up for the match. This product is made from 100% recycled polyester fibres.,3 695,https://www.nike.com/in/t/paris-saint-germain-dri-fit-pre-match-football-top-mCtMjT/DJ8563-472
438,DN0618-740,Brazil 2022/23 Match Home,Dynamic Yellow/Green Spark/Paramount Blue/Paramount BlueStyle,Men's Nike Dri-FIT ADV Football Shirt,"Our ""garra"" is never done. Like other shirts from our Match collection, this one pairs authentic design details with lightweight, quick-drying fabric to help keep the world's biggest football stars cool and comfortable on the pitch.",7 995,https://www.nike.com/in/t/brazil-2022-23-match-home-dri-fit-adv-football-shirt-Kq7Brq/DN0618-740
439,DV9721-010,Nike Dri-FIT LeBron,BlackStyle,Men's Basketball T-Shirt,"Whether on the court or off, carry LeBron's motto of ""Strive for Greatness"" wherever you go. This soft, sweat-wicking tee has a relaxed feel so you can move comfortably while repping one of the best to ever play the game.",2 195,https://www.nike.com/in/t/dri-fit-lebron-basketball-t-shirt-HrSSLh/DV9721-010
440,DQ5665-010,Giannis,Black/Sail/Moon Fossil/SailStyle,Men's Lightweight Basketball Trousers,"He's a freak of nature, a champion and power to behold on the court. Celebrate those qualities of Giannis by suiting up in these lightweight trousers. We made these with soft fleece so you stay comfortable beyond the court. Plus, they have an all-over, embossed graphic celebrating the MVP.",4 295,https://www.nike.com/in/t/giannis-lightweight-basketball-trousers-N6Zb7X/DQ5665-010
441,DN3658-226,Jordan x Maison Château Rouge,Cinnamon/SailStyle,Men's Woven Trousers,"From Chicago to Paris and everywhere in between, these trousers let you rep the Jordan x MCR collab in crisp comfort. They feature an all-over print that tells a global story of youth connected through basketball culture. Front zips near the leg openings let you personalise the fit, rocking your bold look however feels best.",7 495,https://www.nike.com/in/t/jordan-maison-chateau-rouge-woven-trousers-DwRt6t/DN3658-226
442,DD8318-010,NikeCourt Dri-FIT Advantage,Black/WhiteStyle,Men's Tennis Top,"Stretchy and breathable, the NikeCourt Dri-FIT Advantage Top will soon be your go-to for fast, fierce matches. Thanks to a new hybrid neckline, you'll get the look of a V-neck with the comfort of a crew. This product is made from at least 75% recycled polyester fibres.",3 195,https://www.nike.com/in/t/nikecourt-dri-fit-advantage-tennis-top-BrZPL1/DD8318-010
443,SX7678-010,Nike Everyday Lightweight,Black/WhiteStyle,Training No-Show Socks (3 Pairs),Power through your workout with the Nike Everyday Lightweight Socks. Soft yarns with sweat-wicking technology help keep your feet comfortable and dry.,595,https://www.nike.com/in/t/everyday-lightweight-training-no-show-socks-K5cbcM/SX7678-010
444,DM6834-410,Nike Sportswear Sport Essentials,Midnight Navy/WhiteStyle,Men's Woven Unlined Utility Shorts,"The Nike Sportswear Sport Essentials Utility Shorts are all about adventure. A zip fly and snap closure provides a traditional cargo short feel. An elasticated waistband and internal drawcord ensure a comfortable, personalised fit. Snap-closed cargo pockets complete the look and provide additional storage to keep you ready for whatever comes next.",3 395,https://www.nike.com/in/t/sportswear-sport-essentials-woven-unlined-utility-shorts-mqth23/DM6834-410
445,DH7591-100,England,WhiteStyle,Men's Nike T-Shirt,"Put your squad first in this England tee. Made from a soft knit fabric in a roomy fit, it lets you show off your national team pride in casual comfort.",1 595,https://www.nike.com/in/t/england-t-shirt-XW9W9t/DH7591-100
446,DR0466-100,Brazil,White/Coastal BlueStyle,Men's Nike SB Woven Top,Embrace a look that's bold in a top that blends football with skate style. A vibrant jaguar-inspired pattern nods to the national team's jerseys while a classic button-down design and stretchy sweat-wicking fabric help keep you cool when you're on the move.,3 995,https://www.nike.com/in/t/brazil-sb-woven-top-Wf9bzt/DR0466-100
447,DQ6509-010,Nike Dri-FIT Miler D.Y.E.,Black/Light MentaStyle,Men's Short-Sleeve Running Top,"Show off your brain on exercise in this sweat-wicking top. It's part of our Do You Even? Collection, which celebrates the positive effects of the run on your mind. Plus, it has all the things you expect from the Miler, like a smooth, breathable feel.",2 195,https://www.nike.com/in/t/dri-fit-miler-dye-short-sleeve-running-top-bNWRp2/DQ6509-010
448,DO9530-504,Los Angeles Lakers Statement Edition,Field PurpleStyle,Jordan Dri-FIT NBA Swingman Jersey,"Emulate your favourite player in this Los Angeles Lakers jersey, a fan-ready favourite with logo and design details that match what the pros wear on the court. Plus, it infuses breathable mesh with sweat-wicking technology to help keep you cool and dry whether you're burning up the court or just keeping it casual around town.",5 995,https://www.nike.com/in/t/los-angeles-lakers-statement-edition-jordan-dri-fit-nba-swingman-jersey-lhdHs0/DO9530-504
449,DV1578-333,Jordan Essential Holiday,Noble Green/RattanStyle,Men's Hoodie,"Who's ready for the festive season? You are, in this cosy hoodie. Made from brushed French terry in a classic festive checked pattern, it serves up nostalgic seasonal style and a hint of Jordan heritage.",4 295,https://www.nike.com/in/t/jordan-essential-holiday-hoodie-lPfSkv/DV1578-333
450,DQ4265-084,Nike Forward Crew,Light Smoke Grey/Heather/Anthracite/Light Smoke GreyStyle,Men's Crew,"Nike Forward catapults your classic sweatshirt into the future. Unlike traditional knit fabrics, Nike Forward combines multiple thin layers of select fibres for an exceptionally lightweight feel that's effortlessly warm and comfortable. Plus, this first iteration of Nike Forward reduces the carbon footprint by an average of 75% (due to the use of recycled materials, lower process-energy use, and lower material density) when used instead of our traditional knit fleece materials. A lighter future is a brighter future. Join us for the journey Forward and let's experience it together.",6 495,https://www.nike.com/in/t/forward-crew-crew-2ddJMh/DQ4265-084
451,DM5227-060,Nike Air,Anthracite/Light BoneStyle,Men's Lined Woven Shorts,Ready for adventure? So are the Nike Sportswear Woven Shorts. Their breathable fabric help you lead the active life we all crave in the hotter months of the year. This product is made from at least 50% recycled nylon fibres.,3 695,https://www.nike.com/in/t/air-lined-woven-shorts-pjxmpT/DM5227-060
452,DV1463-385,Jordan 23 Engineered,Light Olive/BlackStyle,Men's Long-Sleeve Crew,Stay ready for the weather and look effortlessly cool. This cosy sweatshirt is made from soft cotton for warmth and comfort. Minimal graphics let the stitching—inspired by MJ's iconic Wings jacket—shine through.,2 895,https://www.nike.com/in/t/jordan-23-engineered-long-sleeve-crew-xvFtKN/DV1463-385
453,DQ5829-070,Nike Dri-FIT Starting 5,Dark Smoke Grey/Black/White/Dark Smoke GreyStyle,Men's Basketball Jersey,"Celebrate 40 years of Nike Force bringing energy to the court in our Starting 5 Jersey. Smooth, breathable fabric gives you a lightweight feel as you go coast-to-coast on the hardwood. It's an ode to an icon, with a relaxed fit that feels at home on the court and beyond.",2 195,https://www.nike.com/in/t/dri-fit-starting-5-basketball-jersey-d269Hh/DQ5829-070
